Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2009;2009/07;57.614.034/0001-93;2M DO BRASIL IND E COM LTDA;RODOV DO ACUCAR, KM 156;13400-911;ZONA RURAL;Rio das Pedras;São Paulo
2009;2009/04;57.614.034/0001-93;2M DO BRASIL INDUSTRIA E COM LTDA;RUA OSCAR SEIXAS DE QUEIROZ,135;13140-000;CENTRO;Paulínia;São Paulo
2011;2011/10;07.719.129/0001-01;2M LOCACOES DE STANDES LTDA EPP;7ª BEAUTY FAIR -EXPO CENTER NORTE;02055-000;VL GUILHERME;São Paulo;São Paulo
2009;2009/09;07.719.129/0001-01;2M LOCACOES DE STANDES LTDA EPP;BEAUTY FAIR 2009;02055-000;VL GUILHERME;São Paulo;São Paulo
2008;2008/09;07.719.129/0001-01;2M LOCACOES E STANDES LTDA EPP;20 BIENAL DO LIVRO;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2011;2011/10;04.676.484/0001-44;2M PROMOCOES E SERVICOS EMPRESARIAIS LTD;AV. DR. RICARDO JAFET,133;04260-020;VILA SANTA EULALIA;São Paulo;São Paulo
2010;2010/08;Sem Informação;2MINDS 4ARTS PRESTACAO DE SERVICOS EM INFORMATICA LTDA;RUA CORONEL BENEDITO DE ALMEIDA, 520;08562-200;VILA GONCALVES;Poá;São Paulo
2009;2009/05;37.168.960/0001-75;2MM ELETRO TELEC COME REPRESENTACAO LTDA;AV.ALBERTO BYAINGTON,1409;02127-001;VILA MARIA;São Paulo;São Paulo
2010;2010/12;00.346.953/0001-06;2N ENGENHARIA LTDA;AV NAZARE, 28;04262-000;IPIRANGA;São Paulo;São Paulo
2010;2010/10;00.346.953/0001-06;2N ENGENHARIA LTDA;AVENIDA DOUTOR ARNALDO, 165;01000-000;Sem Informação;São Paulo;São Paulo
2010;2010/08;00.346.953/0001-06;2N ENGENHARIA LTDA;AVENIDA MINISTRO PETRôNIO PORTELA, 1746;02802-120;VILA PENTEADO;São Paulo;São Paulo
2010;2010/02;00.346.953/0001-06;2N ENGENHARIA LTDA;E=RUA LIBERO BADARó, 600;01012-000;CENTRO;São Paulo;São Paulo
2011;2011/12;51.880.706/0001-26;2O CARTORIO DE NOTAS;RUA DR. QUIRINO, 1.405;13015-082;CENTRO;Campinas;São Paulo
2008;2008/09;51.393.551/0001-01;2º CARTORIO DE NOTAS E OFICIO DE JUSTICA;RUA RUI BARBOSA, 464;19010-000;CENTRO;Presidente Prudente;São Paulo
2010;2010/09;07.839.716/0001-26;2R CENTRO AUTOMOTIVO LTDA ME;RUA ALEXANDRE DUMAS,1447;04717-003;CHACARA STO ANTONIO;São Paulo;São Paulo
2011;2011/09;13.390.668/0001-34;2R3 EXCELENCI EM TELEMARKETING LTDA EPP;RUA SIQUEIRA CAMPOS, 476;19010-061;CENTRO;Presidente Prudente;São Paulo
2010;2010/06;08.390.006/0001-24;2S INOVAçõES TECNOLOGICAS;AVENIDA YOJIRO TAKAOKA,4384;06541-038;ALPHAVILLE;Santana de Parnaíba;São Paulo
2008;2008/06;07.249.558/0001-54;2X;AV. IPANEMA,3365;18103-000;Sem Informação;Sorocaba;São Paulo
2008;2008/12;Sem Informação;2X;N/C;18051-900;VILA DOS INGLESES;Capão Bonito;São Paulo
2008;2008/06;Sem Informação;2X_LAVA RAPIDO GIL;N/C_RUA HUMBERTO DE CAMPOS, 306-A;SI;Sem Informação;Sorocaba;São Paulo
2010;2010/11;00.546.075/0001-72;2XMAGAZINE TORRA TORRA SOROCABA LTDA;N/CRUA BARÃO DO RIO BRANCO, 216;18010-171;CENTRO;Sorocaba;São Paulo
2010;2010/02;08.989.779/0001-21;3 @ VIA CAMARA DE NEGOCIACAO MEDIACAO E ARBITRAGEM LTDA;RUA BOA VISTA 314, 4 AND CJ A;01014-000;Sem Informação;São Paulo;São Paulo
2009;2009/12;07.997.650/0001-00;3 A ACABAMENTOS GRAFICOS E EDITORIAIS L;RUA ALENCAR ARARIPE,1450;04253-000;SACOMA;São Paulo;São Paulo
2008;2008/11;02.421.981/0001-76;3 AÇÃO EXPRESS LTDA.ME.;RUA VIRGILIO LEMOS, 383;09991-090;Sem Informação;Diadema;São Paulo
2008;2008/09;03.955.170/0001-18;3 ARQUITETOS ASSOCIADOS LTDA.;20 BIENAL DO LIVRO;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2008;2008/07;07.461.944/0001-05;3 CARTORIO DE NOTAS DE PIRACICABA;RUA PRUDENTE DE MORAES, 804;13400-330;Sem Informação;Piracicaba;São Paulo
2008;2008/10;51.880.789/0001-53;3 CARTORIO DE REGISTRO DE IMOVEIS;AV BRASIL,275;13023-075;GUANABARA;Campinas;São Paulo
2010;2010/12;67.471.268/0001-82;3 D II AUTO POSTO LTDA.;AV. LUIS PEQUINI, 1090;09780-250;JD PALERMO II;São Bernardo do Campo;São Paulo
2010;2010/09;67.471.268/0001-82;3 D II AUTO POSTO LTDA.;AV. LUIZ PEQUINI, 1090;09780-250;JD PALERMO II;São Bernardo do Campo;São Paulo
2011;2011/01;57.789.836/0001-34;3 D INDUST E COMERCIO DE PLASTICOS LTDA;RUA PROFESSOR CLAUDEMIR GOMES DO VALE, 276;09842-080;PARQUE LOS ANGELES;São Bernardo do Campo;São Paulo
2010;2010/07;57.789.836/0001-34;3 D INDUST E COMERCIO DE PLASTICOS LTDA;RUA TRES,44;09842-080;PARQUE LOS ANGELES;São Bernardo do Campo;São Paulo
2011;2011/06;08.357.307/0001-56;3 ESTRELAS OFICINA DE COSTURA LTDA;RUA ARROIO DA SECA 72;02995-060;PARQNACOES UNIDAS;São Paulo;São Paulo
2011;2011/06;08.357.307/0001-56;3 ESTRELAS OFICINA DE COSTURA LTDA ME;ESTRADA DE TAIPAS, 1233 CASA 02;02991-000;PQ NAÇÕES UNIDAS;São Paulo;São Paulo
2009;2009/11;06.144.582/0001-66;3 F PUBLICIDADE E PROPAGANDA LTDA;ALAMEDA DOS TUPINIQUIS,203;04077-000;MOEMA;São Paulo;São Paulo
2011;2011/03;09.368.936/0001-44;3 JMB PRODUCOES E EVENTOS;RUA RAPOSO TAVARES, 116;04704-110;BROOKLIN;São Paulo;São Paulo
2009;2009/04;02.016.229/0001-40;3 K O SERRALHERIA LTDA ME;AV. BRASIL  N. 2500;13505-600;DISTRITO INDUSTRIAL;Rio Claro;São Paulo
2010;2010/05;02.016.229/0001-40;3 K.O. SERRALHERIA LTDA ME;AV. BRASIL, 2500;13500-000;DISTRITO INDUSTRIAL;Rio Claro;São Paulo
2009;2009/12;03.309.163/0001-49;3 MIL COMERCIAL LTDA;RUA CAMPO DAS PITANGUEIRAS,426;03685-010;JARDIM SAO NICOLAU;São Paulo;São Paulo
2012;2012/01;45.565.256/0001-84;3 OFICIAL DE REGISTRO DE IMOVEIS;R JACAREI 23;01319-040;BELA VISTA;São Paulo;São Paulo
2010;2010/07;03.706.510/0001-77;3 R L RAPIDO E OFICINA DE LIMPEZA LT ME;RUA BARTOLOMEU FEIO,862;04580-001;MORUMBI;São Paulo;São Paulo
2011;2011/08;03.706.510/0001-77;3 R L RAPIDO E OFICINA DE LIMPEZA LT ME;RUA BARTOLOMEU FEIO,862;04580-001;MORUMBI;São Paulo;São Paulo
2011;2011/07;08.238.706/0001-06;3 S ASSIS COMERCIO DE MOVEIS LTDA EPP;AV RUI BARBOSA, 1278;19800-000;Sem Informação;Assis;São Paulo
2011;2011/12;08.238.706/0001-06;3 S ASSIS COMERCIO DE MOVEIS LTDA EPP;AV RUI BARBOSA, 1278;19800-000;Sem Informação;Assis;São Paulo
2011;2011/06;10.968.897/0001-03;3 S.G. COMERCIO DE BEBIDAS LTDA;ASPICUELTA,444;05433-011;VILA MADALENA;São Paulo;São Paulo
2010;2010/03;50.333.541/0001-00;3 SERVICO NOTARIAL DE SOROCABA;PRACA CARLOS DE CAMPOS,98;18035-230;CENTRO;Sorocaba;São Paulo
2008;2008/06;05.980.031/0001-70;3 SOUND COM SERV SOM ACESSORIOS LTDA ME;RUA MONTE CAMBERELA,444;08110-260;ITAIM PAULISTA;São Paulo;São Paulo
2011;2011/11;54.198.908/0001-80;3 TABELIAO DE PROTESTO DE LETRAS E TITULOS;LRG SAO FRANCISCO 34 1, 2 E 3 ANDARES;01005-010;SE;São Paulo;São Paulo
2008;2008/07;07.082.416/0001-45;3 W COM DE PROD RECICL LTDA EPP;RUA RODOLFO FREDERICO RECK,75;13870-591;VILA ZANETTI;São João da Boa Vista;São Paulo
2010;2010/01;04.322.997/0001-57;3 W S TRANSPORTE E LOGISTICA LTDA ME;AV.DAS GUEICHAS, 1400;02123-030;JD.JAPÃO;São Paulo;São Paulo
2010;2010/05;Sem Informação;3.4 SERVIçOS DE TRANSPORTES LTDA;RUA VEREADOR JOSé , 367;SI;JD. REGINALICE;Barueri;São Paulo
2008;2008/06;64.961.733/0001-75;3.A POSTO DE SERV.E CONVENIENCIAS LTDA;RUA ALVILANDIA,20;05449-070;ALTO PINHEIRO;São Paulo;São Paulo
2008;2008/07;Sem Informação;3/E CONSTRUTORA E INCORPORADORA LTDA;AL SAO CAETANO 460;SI;SANTA MARIA;São Caetano do Sul;São Paulo
2009;2009/01;62.675.038/0001-11;316-JOSE BERNARDO EPP;AV GAL ATALIBA LEONEL 2568;02033-000;CARANDIRU;São Paulo;São Paulo
2010;2010/12;10.375.406/0001-02;33A SHALON ELSHADAI LTDA.;PRACA COMANDANTE EDUARDO DE OLIVEIRA, 234 - S/02;02233-060;PARQUE EDU CHAVES;São Paulo;São Paulo
2011;2011/05;10.375.406/0001-02;33A SHALON ELSHADAI LTDA.;PRACA COMANDANTE EDUARDO DE OLIVEIRA, 234 - S/02;02233-060;PARQUE EDU CHAVES;São Paulo;São Paulo
2010;2010/02;10.375.406/0001-02;33A SHALON ELSHADAI LTDA.;PRAÇA COMANDANTE EDUARDO DE OLIVEIRA, 234 - S/02;02233-060;PARQUE EDU CHAVES;São Paulo;São Paulo
2011;2011/12;10.375.406/0001-02;33A SHALON EUSHADAI LTDA;AV MARCOS PENTEADO ULHOA RODRIGUES 1050;06400-000;ALPHAVILLE;Barueri;São Paulo
