Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2009;2009/04;85.356.798/0001-61;ABATEDOURO DE CARNES EUJU LTDA;RUA CLARINDA BORBA,100;89245-000;ITINGA II;Araquari;Santa Catarina;;
2008;2008/11;05.264.933/0001-00;ABATEDOURO SANTA FE LTDA. - ME;LIN CENTRAL,1;89890-000;INTERIOR;Cunha Porã;Santa Catarina;;
2010;2010/08;11.451.172/0001-06;ABAV INCORPORADORA LTDA.;RUA 1500, 582;88330-000;CENTRO;Balneário Camboriú;Santa Catarina;;
2010;2010/06;61.074.829/0006-38;ABB LTDA;RUA DR PEDRO ZIMERMANN,5470;89068-000;ITUPAVA CENTRAL;Blumenau;Santa Catarina;;
2009;2009/03;61.074.829/0006-38;ABB LTDA;RUA DR PEDRO ZIMERMANN,5470;89068-000;ITUPAVA CENTRAL;Blumenau;Santa Catarina;;
2011;2011/03;61.074.829/0006-38;ABB LTDA;RUA DR PEDRO ZIMERMANN,5470;89068-000;ITUPAVA CENTRAL;Blumenau;Santa Catarina;;
2008;2008/09;61.074.829/0011-03;ABB LTDA;RUA HENRIQUE JOAO PEREIRA, S/N - OBRA SUBESTAçãO;89219-620;ZONA INDL NORTE;Joinville;Santa Catarina;;
2008;2008/12;08.495.804/0001-10;ABBA IND. DE INJETADOS P/ CALÇADOS LTDA  ME;RUA JOSE MARCELINO FRANCO 143;88240-000;JARDIM SAO PAULO;São João Batista;Santa Catarina;;
2008;2008/06;04.490.046/0001-97;ABBASPEL IND E COMERCIO DE PAPEIS LTDA;RUA JOSE ELIPHIO DA CUNHA SILVEIRA,50;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2011;2011/05;04.490.046/0001-97;ABBASPEL INDUSTRIA E COMERCIO DE PAPEIS LTDA;RUA JOSE ELIPIO DA CUNHA SILVEIRA,50;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2010;2010/10;04.490.046/0001-97;ABBASPEL INDUSTRIA E COMERCIO DE PAPEIS LTDA;RUA JOSE ELIPIO DA CUNHA SILVEIRA,50;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2010;2010/03;04.490.046/0001-97;ABBASPEL INDUSTRIA E COMERCIO DE PAPEIS LTDA;RUA JOSE ELIPIO DA CUNHA SILVEIRA,50;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2009;2009/03;04.691.202/0001-88;ABC COMéRCIO DE MóVEIS E COLCHõES LTDA. ME;R. FULVIO ADUCCI, 690;88075-000;ESTREITO;Florianópolis;Santa Catarina;;
2008;2008/08;06.967.209/0001-05;ABC MÓVEIS E ELETRODOMÉSTICOS LTDA ME;RUA DOS CAÇADORES, 335;89040-000;VELHA;Blumenau;Santa Catarina;;
2010;2010/01;72.225.337/0001-08;ABC SUPERMERCADOS LTDA;AV GETULIO VARGAS , 1055;88960-000;N BRASILIA;Sombrio;Santa Catarina;;
2009;2009/07;83.442.533/0001-50;ABC TRANSPORTES LTDA;RUA XV DE NOVEMBRO,5008;89201-600;VILA NOVA;Joinville;Santa Catarina;;
2008;2008/12;80.657.208/0001-17;ABCR CONSTRUCOES COMERCIO E INDUSTRIA E SERV;RUA LUIZ FAGUNDES 3999;88106-000;PICADAS DO SUL;São José;Santa Catarina;;
2011;2011/05;08.716.905/0001-74;ABDO MARCELO ABBAS;RUA JOSE ELIPHIO DA CUNHA SILVEIRA,130;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2010;2010/10;08.716.905/0001-74;ABDO MARCELO ABBAS;RUA JOSE ELIPHIO DA CUNHA SILVEIRA,130;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2010;2010/03;08.716.905/0001-74;ABDO MARCELO ABBAS;RUA JOSE ELIPHIO DA CUNHA SILVEIRA,130;89400-000;AREA INDUSTRIAL;Porto União;Santa Catarina;;
2009;2009/05;05.613.172/0001-54;ABEL DA SILVA CONFECCOES ME;AVENIDA BRASILIA, 350;88310-370;COSTA CAVALCANTE;Itajaí;Santa Catarina;;
2010;2010/07;05.613.172/0001-54;ABEL DA SILVA CONFECCOES ME;RUA MARANHÃO, Nº 241;88310-483;COSTA CAVALCANTE;Itajaí;Santa Catarina;;
2010;2010/10;80.704.471/0001-10;ABEL JOAO DA SILVA ME;RDV INT. ANTONIO DAMASCO 2534;88045-108;RATONES;Florianópolis;Santa Catarina;;
2012;2012/01;00.717.813/0001-05;ABEL PEREIRA DUARTE - ME;AV. CAMPECHE, 325;88063-000;CAMPECHE;Florianópolis;Santa Catarina;;
2011;2011/04;82.986.688/0001-95;ABELARDO JOAO MINELLA EPP;RUA ERNESTO BIANCHINI,447;88350-600;RIO BRANCO;Brusque;Santa Catarina;;
2009;2009/09;20.081.11626/03;ABELARDO NUNES LUNARDELLI;RUA LAURO MULLER, 760;88301-500;CENTRO;Itajaí;Santa Catarina;;
2008;2008/12;08.333.223/0001-82;ABELHA COMERCIO VAREJISTA DE CONFECÇÕES E ACESSÓRIOS LT;RUA TENENTE SILVEIRA,111;88010-300;CENTRO;Florianópolis;Santa Catarina;;
2009;2009/11;78.215.373/0001-77;ABELMO E CREMER;RUA CORONEL FARRAPO;89620-000;CENTRO;Campos Novos;Santa Catarina;;
2012;2012/03;50.007.82829/80;ABERCIO ERNESTO EMILIO;RUA SALSEIRINHO, 981;88375-000;VOLTA GRANDE;Navegantes;Santa Catarina;;
2011;2011/12;07.875.270/0001-95;ABHYANGA CONFECCOES LTDA;RUA IDA BONA ROCHA 84;89251-480;CENTRO;Jaraguá do Sul;Santa Catarina;;
2010;2010/09;82.745.886/0002-48;ABI BELEM CIA LTDA;RUA JOSE WEISS,166;89287-630;CENTRO;São Bento do Sul;Santa Catarina;;
2009;2009/10;08.880.436/0003-96;ABIB POLETO 08880436000396 MENTOS LTDA;AV IRINEU BORNHAUSEN 74 LJ 4;88101-000;CAMPINAS;São José;Santa Catarina;;
2009;2009/10;08.880.436/0001-24;ABIB POLETO COMERCIO DE ALIMENTOS LTDA;PRACA SETE DE SETEMBRO SALA 1_PALHOÇA;88130-200;CENTRO;Palhoça;Santa Catarina;;
2009;2009/10;08.880.436/0002-05;ABIB POLETO COMERCIO DE ALIMENTOS LTDA;RUA TRAJANO 68 LOJA 6 CENTRO FLORIPA;88000-000;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/05;08.880.436/0003-96;ABIB POLETO COMERCIO DE ALIMENTOS LTDA ME;AVENIDA IRINEU BORNHAUSEN,74;88101-300;CAMPINAS;São José;Santa Catarina;;
2011;2011/05;08.880.436/0001-24;ABIB POLETO COMERCIO DE ALIMENTOS LTDA ME;PRACA SETE DE SETEMBRO,106;88130-200;CENTRO;Palhoça;Santa Catarina;;
2012;2012/01;08.880.436/0002-05;ABIB POLETO COMERCIO DE ALIMENTOS LTDA ME;RUA TRAJANO, 168, LOJAS 6 E 7;88010-010;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/05;08.880.436/0002-05;ABIB POLETO COMERCIO DE ALIMENTOS LTDA ME;RUA TRAJANO,168;88010-010;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/05;04.505.759/0001-87;ABILITY COMUNICACAO INTEGRADA LTDA;AV. PRESIDENTE KENNEDY,600;88100-000;CAMPINHAS;São José;Santa Catarina;;
2009;2009/10;05.619.231/0001-00;ABIM MAQUINAS E EQUIPAMENTOS LTDA;RUA ERICH MEYER,60;89069-300;ITOUPAVA CENTRAL;Blumenau;Santa Catarina;;
2012;2012/04;05.619.231/0001-00;ABIM MAQUINAS E EQUIPAMENTOS LTDA;RUA ERICH MEYER,60;89069-300;ITOUPAVA CENTRAL;Blumenau;Santa Catarina;;
2009;2009/01;00.508.070/0001-55;ABIMAR SUPERMERCADO LTDA;ROD PAULINO BURIGO (SC 444), S/N;88820-000;PEDREIRA;Içara;Santa Catarina;;
2011;2011/08;00.508.070/0001-55;ABIMAR SUPERMERCADO LTDA;ROD.SC444 - ROD.PAULINO BURIGO, S/N;88820-000;PEDREIRAS;Içara;Santa Catarina;;
2009;2009/05;00.508.070/0002-36;ABIMAR SUPERMERCADO LTDA;RUA VITORIA, 530;88820-000;CENTRO;Içara;Santa Catarina;;
2008;2008/08;00.508.070/0002-36;ABIMAR SUPERMERCADO LTDA;RUA VITORIA, 530;88820-000;CENTRO;Içara;Santa Catarina;;
2011;2011/10;07.229.021/0001-22;ABIRUSH AUTOMACAO E SISTEMAS LTDA;HENRIQUE LAGE,565, 2O ANDAR;88816-350;CENTRO;Criciúma;Santa Catarina;;
2010;2010/04;07.229.021/0001-22;ABIRUSH AUTOMACAO E SISTEMAS LTDA;HENRIQUE LAGE,565, 2O ANDAR;88816-350;CENTRO;Criciúma;Santa Catarina;;
2010;2010/04;07.229.021/0001-22;ABIRUSH AUTOMACAO E SISTEMAS LTDA;HENRIQUE LAGE,565, 2º ANDAR;88816-350;CENTRO;Criciúma;Santa Catarina;;
2009;2009/08;09.553.731/0001-39;ABITANTE CONSTRUTORA E INCORPORADORA LTDA;AV. GOVERNADOR IRINEU BORNHAUSEN, 3322, APTO 1002;88025-200;AGRONOMICA;Florianópolis;Santa Catarina;;
2008;2008/06;07.599.546/0001-50;ABJ COMERCIO DE GAS LTDA ME;DOS CACADORES,219;89040-000;VELHA;Blumenau;Santa Catarina;;
2011;2011/07;04.219.794/0001-30;ABM USINAGEM E ESTAMPARIA LTDA;PAULINO PEDRO HERMES,598;88110-693;N S ROSARIO;São José;Santa Catarina;;
2009;2009/07;Sem Informação;ABNER TRANSPORTES E DISTRIBUIDORA LTDA;PRACA NEREU RAMOS,1783;SI;CENTRO;Criciúma;Santa Catarina;;
2012;2012/04;08.633.875/0001-32;ABR CONSTRUCOES LTDA;RUA CARAMURU,167;89031-030;DO SALTO;Blumenau;Santa Catarina;;
2009;2009/09;08.534.611/0001-21;ABR TRANSPORTES LTDA;AV MARIO URIARTE,1511;88310-696;CORDEIROS;Itajaí;Santa Catarina;;
2010;2010/03;Sem Informação;ABRAAO BUENO;RUA JOAO F VIEIRA, 90;89820-000;MATINHO;Xanxerê;Santa Catarina;;
2009;2009/05;77.836.443/0001-41;ABRAO V FERNANDES E CIA LTDA;AVENIDA MAX SCHRAMM,3526;88095-000;JD ATLANTICO;Florianópolis;Santa Catarina;;
2011;2011/06;77.836.443/0001-41;ABRAO V FERNANDES E CIA LTDA;AVENIDA MAX SCHRAMM,3526;88095-000;JD ATLANTICO;Florianópolis;Santa Catarina;;
2010;2010/10;11.451.172/0001-06;ABRAV INCORPORADORA LTDA;RUA 1500, N 582;88330-000;CENTRO;Balneário Camboriú;Santa Catarina;;
2010;2010/02;11.451.172/0001-06;ABRAV INCORPORADORA LTDA.;OBRA-RUA 1500, 582;88330-015;CENTRO;Balneário Camboriú;Santa Catarina;;
2011;2011/05;04.765.941/0001-77;ABREU COMERCIO DO VESTUARIO LTDA.;AVENIDA LEDIO JOAO MARTINS,864;88101-101;KOBRASOL;São José;Santa Catarina;;
2009;2009/01;80.967.466/0001-08;ABREU EMPREITEIRA DE MAO DE OBRA;AV. ENG. MAX DE SOUZA, 1387;88080-000;COQUEIROS;Florianópolis;Santa Catarina;;
2009;2009/03;00.243.015/0001-80;ABRIGO LUZ DO AMANHA;HEITOR LIBERATO,998;88304-101;VILA OPERARIA;Itajaí;Santa Catarina;;
2011;2011/05;11.169.963/0001-30;ABRILAR INDUSTRIA DE ESQUADRIAS LTDA;RODOVIA BR 470,3751;89182-000;SALTO PILAO;Lontras;Santa Catarina;;
2012;2012/01;12.412.627/0001-39;ABS - COMERCIO DE PRODUTOS ALIMENTICIOS;VEREADOR ONILDO LEMOS,1672;88058-700;I. RIO VERMELHO;Florianópolis;Santa Catarina;;
2008;2008/08;85.252.724/0001-85;ABS BATERIAS E NAVALHAS LTDA;AVENIDA DOS IMIGRANTES, 1447;88817-600;RIO MAINA;Criciúma;Santa Catarina;;
2008;2008/08;09.342.423/0001-64;ABS-HIKARI RESTAURANTE E COMERCIO DE ALIMENTOS LTDA;RUA BOCAIUVA, 1973, LOJA 01;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2010;2010/07;09.342.423/0001-64;ABS-HIKARI RESTAURANTE E COMERCIO DE ALIMENTOS LTDA;RUA BOCAIUVA, 1973, LOJA 01;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2009;2009/04;05.685.328/0001-02;ABSOLUTA GRÁFICA E EDITORA;RUA DO IANO, 1060;88100-000;BARREIROS;São José;Santa Catarina;;
2011;2011/06;09.454.358/0001-69;ABSTRATO JEANS INDUSTRIA E COM DE CONFECCOES;RUA LEOBERTO LEAL, 11;88790-000;PROGRESSO;Laguna;Santa Catarina;;
2012;2012/03;05.253.288/0001-20;ABSTRATTO ESTOFADOS LTDA EPP;RUA ARNOLDO LEONARDO SCHMITT,69;89259-770;BARRA DO RIO MOLHA;Jaraguá do Sul;Santa Catarina;;
2009;2009/03;08.588.175/0001-73;ABYARA PLANEJAMENTO IMOBILIARIO;OBRA: RODOVIA BR 101 KM 201;88111-000;SERRARIA;São José;Santa Catarina;;
2009;2009/02;04.906.765/0001-46;AC COMERCIO VIDROS TEMPERADOS LTDA;RUA XV DE NOVEMBRO,1764;89201-601;CENTRO;Joinville;Santa Catarina;;
2010;2010/07;72.266.935/0001-25;AC INDUSTRIA E COMERCIO DE MADEIRAS CATARINENSE LTDA;ACESSO PLINIO DE NES,1701D;89805-290;AGUA SANTA;Chapecó;Santa Catarina;;
2011;2011/03;72.266.935/0001-25;AC INDUSTRIA E COMERCIO DE MADEIRAS CATARINENSE LTDA;ACESSO PLINIO DE NES,1701D;89805-290;AGUA SANTA;Chapecó;Santa Catarina;;
2011;2011/02;72.266.935/0001-25;AC INDUSTRIA E COMERCIO DE MADEIRAS CATARINENSE LTDA;ACESSO PLINIO DE NES,1701D;89805-290;AGUA SANTA;Chapecó;Santa Catarina;;
2010;2010/03;34.028.316/2011-92;AC ITAJAI;RUA GIL STEIN FERREIRA 5O,1;88301-970;CENTRO;Itajaí;Santa Catarina;;
2008;2008/10;06.538.341/0001-00;AC SERVIçOS DE PINTURA LTDA;RUA PREF. HELMUTH FALLGATTER, 250;89205-300;BOA VISTA;Joinville;Santa Catarina;;
2010;2010/01;34.028.316/5873-68;AC VORSTADT;RUA ANTONIO TREISS 116O;89015-972;VORSTADT;Blumenau;Santa Catarina;;
2009;2009/10;85.372.654/0001-07;AC/DC ENGENHARIA LTDA;AV. IVO SILVEIRA,2487;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2010;2010/05;07.556.990/0001-98;ACABAMENTOS AGUIA LTDA ME;RUA FRANCISCO VAHLDIECK,1250;89056-000;FORTALEZA;Blumenau;Santa Catarina;;
2008;2008/06;Sem Informação;ACADEMIA ACQUA FIT;RUA ISRAEL, S/N (ATRáS DA SAUNA);SI;NAçõES;Balneário Camboriú;Santa Catarina;;
2009;2009/10;09.066.237/0001-40;ACADEMIA ALTERNATIVA;RUA PADRE AURéLIO CANZI;89900-000;CENTRO;São Miguel do Oeste;Santa Catarina;;
2012;2012/04;08.949.387/0001-39;ACADEMIA DA CERVEJA BAR E CONV LTDA;RUA LAURO LINHARES 624 LJ 01;88036-002;TRINDADE;Florianópolis;Santa Catarina;;
2008;2008/10;09.568.079/0001-26;ACADEMIA DE GINASTICA CALIFORNIA SPORT & LIFE LTDA;AV GETULIO VARGAS, 1446 - SL 49_- SHOP.AMERICANAS;89202-002;ANITA GARIBALDI;Joinville;Santa Catarina;;
2010;2010/07;03.962.307/0001-61;ACADEMIA DE GINASTICA E MUSCULACAO ARNUTI LTDA.;RUA JOAO RIBEIRO BRANCO, 395;88508-160;SAGRADO C JESUS;Lages;Santa Catarina;;
2009;2009/08;08.438.326/0001-07;ACADEMIA DE GINáSTICA EDSON PASSOS LTDA ME;ROD ANTONIO LUIZ MOURA GONZAGA 1895;88048-300;RIO TAVARES;Florianópolis;Santa Catarina;;
2008;2008/08;08.065.969/0001-52;ACADEMIA DE GINASTICA FITNESS CENTER LTDA.;RUA JOÃO PIO DUARTE, 114, SALA 114;88000-000;CORREGO GRANDE;Florianópolis;Santa Catarina;;
2008;2008/07;04.656.669/0001-97;ACADEMIA DO PARAíB LTDA;RUA JOSé CâNDIDO DO SILVA Nº 158;88075-250;BALNEáRIO;Florianópolis;Santa Catarina;;
2008;2008/07;79.674.396/0001-02;ACADEMIA MASTER FITNESS CLUB LTDA;AL RIO BRANCO,333;89010-300;CENTRO;Blumenau;Santa Catarina;;
2010;2010/02;Sem Informação;ACADEMIA NADAR;RODOVIA SC 439, 2055;SI;CENTRO;Braço do Norte;Santa Catarina;;
2009;2009/05;08.643.293/0001-37;ACADEMIA NOVA CORPUS;RUA AFONSO DELAMBERT, 375;88062-220;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina;;
2012;2012/01;62.655.261/0001-05;ACADEMIA PAULISTA ANCHIETA LTDA;RUA LUIZ FAGUNDES,1680;88106-000;PICADAS DO SUL;São José;Santa Catarina;;
2009;2009/03;78.608.221/0001-34;ACADEMIA ROCHA LTDA;R.ESTEVES JR, 749;88015-130;CENTRO;Florianópolis;Santa Catarina;;
2008;2008/07;78.608.221/0001-34;ACADEMIA ROCHA LTDA;R.ESTEVES JR, 749;88015-130;CENTRO;Florianópolis;Santa Catarina;;
2009;2009/02;04.181.698/0001-40;ACADEMIA SPORTVILLE LTDA ME;RUA DOS GINASTICOS,197;89201-310;CENTRO;Joinville;Santa Catarina;;
2008;2008/08;02.909.317/0001-70;ACADEMIA TRAMPOLIM;RUA SAMUEL HEUSI,;88301-320;CENTRO;Itajaí;Santa Catarina;;
2010;2010/07;10.961.694/0002-68;ACADEMICA INDUSTRIA E COMERCIO DE CONFECCOES LTDA.;AV. ATILIO PEDRO PAGANI, 270 - SALA 218;88132-149;PASSA VINTE;Palhoça;Santa Catarina;;
2009;2009/07;07.417.845/0003-98;ACAO E ESPERANCA COM ART PLAST LTDA ME;RUA REPUBLICA ARGENTINA,383;89050-100;PONTA AGUDA;Blumenau;Santa Catarina;;
2008;2008/06;07.417.845/0002-07;ACAO E ESPERANCA COM DE PLASTICOS LTDA;R ARAGUAIA 101;88304-420;S JOAO;Itajaí;Santa Catarina;;
2008;2008/10;07.417.845/0001-26;ACAO E ESPERANCA COM E ART DE PLASTICOS LTDA;IRMAOS VIEIRA 221 SALA 26;88101-290;CAMPINAS;São José;Santa Catarina;;
2011;2011/02;08.980.792/0001-10;AçAO EMBALAGENS LTDA;RUA JAPURá, 474 SL 01;89207-800;GUANABARA;Joinville;Santa Catarina;;
2010;2010/11;08.980.792/0001-10;ACAO EMBALAGENS LTDA EPP;RUA JAPURA 474;89207-800;GUANABARA;Joinville;Santa Catarina;;
2011;2011/12;08.980.792/0001-10;ACAO EMBALAGENS LTDA EPP;RUA JAPURA 474;89207-800;GUANABARA;Joinville;Santa Catarina;;
2011;2011/06;08.980.792/0001-10;ACAO EMBALAGENS LTDA EPP;RUA JOAQUIM GIRARDI, 49;89207-800;VILA NOVA;Joinville;Santa Catarina;;
2010;2010/12;08.518.624/0001-07;ACAO MERCADOLOGICA E LOCACAO LTDA;R. VICTOR MEIRELLES, 600 - SALA 507;88101-170;CAMPINAS;São José;Santa Catarina;;
2010;2010/05;08.518.624/0001-07;ACAO MERCADOLOGICA E LOCACAO LTDA;RUA PROFESSORA OTILIA CRUZ, 70;88095-080;COLONINHA;Florianópolis;Santa Catarina;;
2010;2010/04;08.518.624/0001-07;ACAO MERCADOLOGICA E LOCACAO LTDA - EPP;RUA VICTOR MEIRELLES, 600, SALA 214;88101-170;CAMPINAS;São José;Santa Catarina;;
2010;2010/11;04.746.043/0001-71;ACAO RH LTDA;RUA BLUMENAU,600;89204-250;AMERICA;Joinville;Santa Catarina;;
2012;2012/03;82.512.328/0001-51;AçãO SOCIAL DA TRINDADE;PçA SANTOS DUMONT 94;88040-970;TRINDADE;Florianópolis;Santa Catarina;;
2009;2009/04;72.291.198/0001-10;ACAO SOCIAL MISSAO;RUA EURICO HOSTERNO, 321;88035-400;SANTA MONICA;Florianópolis;Santa Catarina;;
2010;2010/04;82.658.972/0001-32;ACAPULCO CONFECCOES LTDA - BL;R. JOINVILLE, 690;89035-200;VILA NOVA;Blumenau;Santa Catarina;;
2008;2008/10;07.384.264/0001-35;ACARAU CONSTRUCOES LTDA;OBRA: RUA RIO GRANDE DO SUL 200;89202-050;ANITA GARIBALDI;Joinville;Santa Catarina;;
2011;2011/04;07.384.264/0001-35;ACARAU CONSTRUCOES LTDA;RUA JOACABA, 154 - OBRA;89200-000;SAGUACU;Joinville;Santa Catarina;;
2009;2009/01;07.384.264/0001-35;ACARAU CONSTRUçõES LTDA;RUA GENERAL ANDRADE NEVES, 176;89204-410;AMéRICA;Joinville;Santa Catarina;;
2010;2010/08;04.791.866/0001-19;ACARI VIEIRA FILHO ME;RUA NEREU RAMOS,235;88015-010;CENTRO;Florianópolis;Santa Catarina;;
2009;2009/10;83.191.221/0002-00;ACASEL ACABAMENTO E SEGURANCA LTDA;RUA ACESSO BR 282,1745;89801-973;ELDORADO;Chapecó;Santa Catarina;;
2010;2010/11;83.191.221/0002-00;ACASEL ACABAMENTO E SEGURANCA LTDA;RUA ACESSO BR 282,1745;89801-973;ELDORADO;Chapecó;Santa Catarina;;
2008;2008/09;83.191.221/0002-00;ACASEL ACABAMENTO E SEGURANCA LTDA;RUA ACESSO BR 282,1745;89801-973;ELDORADO;Chapecó;Santa Catarina;;
2010;2010/09;07.017.540/0006-31;ACASSINI MOVEIS E OBJETOS LTDA;RUA GERONCIO THIVES 05;88117-290;BARREIROS;São José;Santa Catarina;;
2009;2009/05;07.017.540/0006-31;ACASSINI MOVEIS E OBJETOS LTDA;RUA GERONCIO THIVES 05;88117-290;BARREIROS;São José;Santa Catarina;;
2008;2008/08;03.343.367/0001-04;ACASSIO VENTURINI ME.;SC 447, KM 01;88860-000;INDUSTRIAL;Siderópolis;Santa Catarina;;
2008;2008/07;03.343.367/0001-04;ACASSIO VENTURINI ME.;SC 447, KM 01;88860-000;INDUSTRIAL;Siderópolis;Santa Catarina;;
2011;2011/12;07.771.779/0001-98;ACC ASSOCIACAO A CRIANCAS COM CANCER;RUA JULIA BENEDET SALVADOR, 73;88811-760;PROSPERA;Criciúma;Santa Catarina;;
2010;2010/10;12.501.535/0001-25;ACC COMERCIO DE AUTOPEÇAS LTDA;RUA SANTA CLARA, 345;88113-200;AREIAS;São José;Santa Catarina;;
2009;2009/03;03.344.056/0001-51;ACCEL TRANSPORTES LTDA EPP;RUA PADRE RAULINO RAITZ,225;88113-120;AREIAS;São José;Santa Catarina;;
2010;2010/06;02.502.520/0001-28;ACCESS ASSESSORIA DE COBRANCA LTDA;AV JUSCELINO KUBITSCHEK,410;89201-100;CENTRO;Joinville;Santa Catarina;;
2011;2011/04;02.502.520/0001-28;ACCESS ASSESSORIA DE COBRANCA LTDA ME;AV JUSCELINO KUBITSCHEK,410 - SALA 1106 - BLOCO B;89201-100;CENTRO;Joinville;Santa Catarina;;
2008;2008/07;02.502.520/0001-28;ACCESS ASSESSORIA DE COBRANÇA LTDA.;AV JK, 410 - BLOCO B - 11O. ANDAR SALA 1106;89201-100;CENTRO;Joinville;Santa Catarina;;
2010;2010/12;73.432.106/0001-38;ACCESSORYUM COM BIJUTERIAS ACESS LTDA;RUA BOCAIUVA,2468;88015-500;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/01;73.997.009/0001-92;ACCR ADMINISTRAçãO E PARTICIPAçõES LTDA;R. PADRE CLEMENTE SN;88000-000;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/01;81.356.271/0001-86;ACCR ADMINISTRAçãO E PARTICIPAçõES LTDA;R. PE CLEMENTE ESQ. BARãO DE BATOVI;88000-000;CENTRO;Florianópolis;Santa Catarina;;
2010;2010/10;81.356.271/0001-86;ACCR CONSTRUCOES LTDA;R . VICTOR LIMA SN  ED. COMERCIAL STA CLARA;88000-000;TRINDADE;Florianópolis;Santa Catarina;;
2009;2009/12;81.356.271/0001-86;ACCR CONSTRUCOES LTDA;RUA PRESIDENTE COUTINHO SN;88015-230;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/03;81.356.271/0001-86;ACCR CONSTRUÇÕES LTDA;R. MADRE MARIA VILLAC, SN;88000-000;CANASVIEIRAS;Florianópolis;Santa Catarina;;
2010;2010/09;81.356.271/0001-86;ACCR CONSTRUÇÕES LTDA;RUA DESEMBAGADOR VICTOR LIMA,SN;88000-000;CARVOEIRA/PANTANAL;Florianópolis;Santa Catarina;;
2010;2010/08;81.356.271/0001-86;ACCR_CONSTRUçõES LTDA;RUA DES VITOR LIMA;88036-000;TRINDADE;Florianópolis;Santa Catarina;;
2011;2011/07;08.888.029/0001-63;ACE ALIMENTOS LTDA ME;RUA ALMIRANTE LAMEGO,840;88015-600;CENTRO;Florianópolis;Santa Catarina;;
2008;2008/09;08.888.029/0001-63;ACE ALIMENTOS LTDA ME;RUA ALMIRANTE LAMEGO,840;88015-600;CENTRO;Florianópolis;Santa Catarina;;
2010;2010/03;08.888.029/0001-63;ACE ALIMENTOS LTDA ME;RUA ALMIRANTE LAMEGO,840;88015-600;CENTRO;Florianópolis;Santa Catarina;;
2012;2012/05;08.888.029/0001-63;ACE ALIMENTOS LTDA ME;RUA ALMIRANTE LAMEGO,840;88015-600;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/04;01.053.872/0001-80;ACE DESPACHOS ADUANEIROS;RUA DOUTOR PEDRO FERREIRA,155;88301-030;CENTRO;Itajaí;Santa Catarina;;
2010;2010/06;82.991.308/0001-00;ACEL EQUIPAMENTOS PNEUMATICOS E HIDRAULICOS LTDA;RUA CONSELHEIRO PEDREIRA,1190;89239-200;CENTRO PIRABEIRABA;Joinville;Santa Catarina;;
2011;2011/12;01.073.111/0001-90;ACELMO COELHO EPP;RUA MAJOR S.DO NASCIMENTO,1;88140-000;SAO FRANCISCO;Santo Amaro da Imperatriz;Santa Catarina;;
2011;2011/08;01.073.111/0001-90;ACELMO COELHO EPP;RUA MAJOR S.DO NASCIMENTO,SN;88140-000;SAO FRANCISCO;Santo Amaro da Imperatriz;Santa Catarina;;
2008;2008/10;05.250.871/0001-87;ACEMAP MANUTENCAO INDUSTRIAL LTDA;RUA AFONSO PIAZERA,152;89255-740;AMIZADE;Jaraguá do Sul;Santa Catarina;;
2009;2009/10;05.250.871/0001-87;ACEMAP MANUTENCAO INDUSTRIAL LTDA ME;RUA AFONSO PIAZERA,152;89255-740;AMIZADE;Jaraguá do Sul;Santa Catarina;;
2008;2008/08;05.749.706/0001-74;ACERA DO BRASIL IND. COM, PESCADOS LTDA;RUA MARCOS CASTELAN 192;SI;Sem Informação;Itajaí;Santa Catarina;;
2008;2008/06;07.157.406/0001-21;ACES SERV.DE LOGISTICA E TRANSP.INTER.LT;RUA BLUMENAU,,178;89204-250;AMERICA;Joinville;Santa Catarina;;
2008;2008/10;Sem Informação;ACESA ASSOCIACAO COOPERATIVA EXPONTANEA SANTOAMARENSE;AV FREI FIDENCIO FELDMANN SN;SI;CENTRO;Santo Amaro da Imperatriz;Santa Catarina;;
2011;2011/09;10.811.652/0001-60;ACESSO VIRTUAL SISTEMAS ELET.DE SEGURANÇA LTDA ME;RUA 300, S/N;88330-670;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/11;95.771.424/0001-66;ACESSOCAR COMERCIO DE PECAS E SERVICOS LTDA;ACES BR 282 2509D;89810-800;BELVEDERE;Chapecó;Santa Catarina;;
