Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2008;2008/11;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina;;
2008;2008/08;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina;;
2009;2009/01;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina;;
2008;2008/09;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina;;
2010;2010/04;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina;;
2009;2009/08;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina;;
2011;2011/03;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina;;
2012;2012/01;83.646.984/0034-78;A ANGELONI E CIA LTDA;QUARTA AVENIDA, Nº 880;88330-110;CENTRO;Balneário Camboriú;Santa Catarina;;
2008;2008/12;83.646.984/0072-01;A ANGELONI E CIA LTDA;R. MIN. CALOGERAS, 1639 - OBRA SUPERMERCADO;89200-000;ANITA GARIBALDI;Joinville;Santa Catarina;;
2008;2008/07;83.646.984/0072-01;A ANGELONI E CIA LTDA;R. MIN. CALOGERAS, 1639 - OBRA SUPERMERCADO;89200-000;ANITA GARIBALDI;Joinville;Santa Catarina;;
2009;2009/09;83.646.984/0074-65;A ANGELONI E CIA LTDA;ROD SC 403 6375;88058-001;INGLESES;Florianópolis;Santa Catarina;;
